morphospecies,color,body_length,wingspan,species,location,time,family,subfamily,guilds,,color index,,,,
orange jazz,orange,18.1,60.2,Eueides lybia,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
neopolitan,,17.8,56.4,Anartia jatrophae,ar,afternoon,Nymphalidae,Nymphalinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
tiger mama,orange,13.1,30.9,Dryas iulia alcionea,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollinator",,Colorful,,,,
clear wing,transparent,18.1,58.7,Pteronymia alissa alissa,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
megan the stallion,"orange, black",28.2,67.9,Melinaea menophilus,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
megan the stallion,"black, orange",27.6,69.7,Melinaea menophilus,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
marshmallow,white,12.8,31.3,Pyralidae sp. 2,ar,afternoon,Pyralidae,Pyralinae,Detritivore,,Dull,,,,
zendaya,"orange, brown",16.8,51.2,Tigridia acesta,ar,afternoon,Riodinidae,Riodininae,"Phytophagous, Nectar Feeder",,Colorful,,,,
lizzo,"black, orange",26.5,73.3,Consul fabius semifulvus-superba,ar,afternoon,Nymphalidae,Charaxinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
el sol,"brown, orange, dots",57.6,58.5,Mechanitis messenoides,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
katy perry ,,18.7,79.2,Celaenorrhinus sp.,ar,afternoon,Hesperiidae,Pyrginae,Nectar Feeder,,Dull,,,,
orange jazz,orange,17.6,61.7,Eueides lybia,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
cottage core,"brown, white",16.6,44.6,Hermeuptychia hermes,ar,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
big brother,"orange, black, white dots",12.9,37.5,Historis acheronta acheronta,ar,evening,Nymphalidae,Charaxinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
bohemian,"brown, orange",25.1,63.9,Anartia amathea,ar,evening,Nymphalidae,Nymphalinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
wet,,20.6,59,subfamily,ar,evening,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Dull,,,,
bohemian,"brown, orange",28.1,70.5,Anartia amathea,ar,evening,Nymphalidae,Nymphalinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
bohemian,"brown, orange",26.2,74.7,Anartia amathea,ar,evening,Nymphalidae,Nymphalinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
zebra,"black, white",17.7,52.4,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
aqua baby,"blue, white",28,70.7,,ar,evening,Lycaenidae,Polyommatinae,"Phytophagous, Occasional Predator (Lycaenidae larvae)",,Colorful,,,,
orange jazz,orange,19.6,56.1,Eueides lybia,ar,evening,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
yellow beaver,yellow,23.7,64.5,Phoebis neocypris,ar,evening,Pieridae,Coliadinae,Phytophagous,,Colorful,,,,
orange jazz,orange,12,52.7,Eueides lybia,ar,evening,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
orange jazz,orange,20.5,58.4,Eueides lybia,ar,evening,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
lil wayne,"orange, black",10.9,,Riodina lysippus lysias,ar,evening,Riodinidae,Riodininae,Nectar Feeder,,Colorful,,,,
orange jazz,orange,19.4,57.2,Eueides lybia,ar,evening,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
nora jones,"orange, yellow",26.7,94.3,Callicore cynosura cynosura,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
yellow beaver,yellow,17.2,42.9,Phoebis neocypris,ar,evening,Pieridae,Coliadinae,Phytophagous,,Colorful,,,,
bad girls,,17.1,53.6,Pedaliodes persidaes,ar,evening,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
